size,dep_density,budget_tightness,deadline_pressure,instance_seed,opt_risk,current_risk_risk,current_risk_feasible,current_risk_gap
45,0.1,0.95,0.4,208676,3086,4463,1,0.446209
45,0.1,0.95,0.4,111866,1742,2495,1,0.432262
45,0.1,0.95,0.4,119785,3311,5025,1,0.517668
45,0.1,0.95,0.4,337162,2775,3706,0,
45,0.1,0.95,0.4,240352,2403,3902,1,0.623804
45,0.1,0.95,0.8,1000,1969,2596,0,
45,0.1,0.95,0.8,113648,1519,2356,0,
45,0.1,0.95,0.8,16838,1463,1751,0,
45,0.1,0.95,0.8,338944,2505,3266,0,
45,0.1,0.95,0.8,32676,2218,2569,0,
45,0.1,0.95,0.8,145324,2857,4218,0,
45,0.1,0.95,0.8,48514,2550,3450,0,
45,0.1,0.95,0.8,161162,3148,4816,0,
45,0.1,0.95,0.8,169081,1790,6061,0,
45,0.1,0.95,0.8,72271,1862,2815,0,
45,0.1,0.95,0.8,184919,3958,4797,0,
45,0.1,0.95,0.8,192838,3873,4294,0,
45,0.1,0.95,0.8,313405,2515,3627,0,
45,0.1,0.95,0.8,111866,1861,2495,0,
45,0.1,0.95,0.8,119785,3459,5025,0,
45,0.1,0.95,0.8,337162,2824,3706,0,
45,0.1,0.95,0.8,240352,2507,3902,0,
45,0.4,0.4,0.1,1000,1070,1626,1,0.519626
45,0.4,0.4,0.1,8919,1805,12048,0,
45,0.4,0.4,0.1,16838,1806,7679,0,
45,0.4,0.4,0.1,24757,2846,3092,1,0.086437
45,0.4,0.4,0.1,137405,809,1132,1,0.399258
45,0.4,0.4,0.1,40595,671,8676,0,
45,0.4,0.4,0.1,48514,2006,2535,1,0.263709
45,0.4,0.4,0.1,161162,2369,3024,1,0.276488
45,0.4,0.4,0.1,64352,655,3628,0,
45,0.4,0.4,0.1,72271,824,1527,1,0.853155
45,0.4,0.4,0.1,80190,1093,1484,1,0.357731
45,0.4,0.4,0.1,88109,918,1177,1,0.282135
45,0.4,0.4,0.1,96028,650,1533,1,1.358462
45,0.4,0.4,0.1,103947,510,896,1,0.756863
45,0.4,0.4,0.1,111866,815,1227,1,0.505521
45,0.4,0.4,0.1,224514,1409,4111,0,
45,0.4,0.4,0.1,127704,1047,1345,1,0.284623
45,0.4,0.4,0.1,135623,1775,2278,1,0.28338
45,0.4,0.4,0.4,1000,1070,1626,1,0.519626
45,0.4,0.4,0.4,8919,1805,12048,0,
45,0.4,0.4,0.4,16838,1806,7679,0,
45,0.4,0.4,0.4,24757,2846,3092,1,0.086437
45,0.4,0.4,0.4,137405,809,1132,1,0.399258
45,0.4,0.4,0.4,40595,671,8676,0,
45,0.4,0.4,0.4,48514,2006,2535,1,0.263709
45,0.4,0.4,0.4,161162,2369,3024,1,0.276488
45,0.4,0.4,0.4,64352,655,3628,0,
45,0.4,0.4,0.4,72271,824,1527,1,0.853155
45,0.4,0.4,0.4,80190,1093,1484,1,0.357731
45,0.4,0.4,0.4,88109,918,1177,1,0.282135
45,0.4,0.4,0.4,96028,650,1533,1,1.358462
45,0.4,0.4,0.4,103947,510,896,1,0.756863
45,0.4,0.4,0.4,111866,815,1227,1,0.505521
45,0.4,0.4,0.4,224514,1409,4111,0,
45,0.4,0.4,0.4,127704,1047,1345,1,0.284623
45,0.4,0.4,0.4,135623,1775,2278,1,0.28338
45,0.4,0.4,0.8,1000,1070,1626,0,
45,0.4,0.4,0.8,8919,1815,12048,0,
45,0.4,0.4,0.8,16838,1806,7679,0,
45,0.4,0.4,0.8,24757,2867,3092,1,0.078479
45,0.4,0.4,0.8,137405,809,1132,0,
45,0.4,0.4,0.8,40595,671,8676,0,
45,0.4,0.4,0.8,48514,2067,2535,0,
45,0.4,0.4,0.8,161162,2389,3024,0,
45,0.4,0.4,0.8,64352,655,3628,0,
45,0.4,0.4,0.8,72271,824,1527,1,0.853155
45,0.4,0.4,0.8,80190,1093,1484,1,0.357731
45,0.4,0.4,0.8,88109,918,1177,1,0.282135
45,0.4,0.4,0.8,96028,650,1533,1,1.358462
45,0.4,0.4,0.8,103947,510,896,1,0.756863
45,0.4,0.4,0.8,111866,815,1227,1,0.505521
45,0.4,0.4,0.8,224514,1409,4111,0,
45,0.4,0.4,0.8,127704,1047,1345,1,0.284623
45,0.4,0.4,0.8,135623,1775,2278,1,0.28338
45,0.4,0.6,0.1,1000,2164,3372,1,0.558226
45,0.4,0.6,0.1,8919,2386,12054,0,
45,0.4,0.6,0.1,121567,1303,2152,1,0.651573
45,0.4,0.6,0.1,24757,3908,4327,1,0.107216
45,0.4,0.6,0.1,137405,1422,2422,1,0.703235
45,0.4,0.6,0.1,250053,1063,1854,1,0.74412
45,0.4,0.6,0.1,48514,3323,4281,1,0.288294
45,0.4,0.6,0.1,161162,3146,4108,1,0.305785
45,0.4,0.6,0.1,273810,2230,3083,1,0.382511
45,0.4,0.6,0.1,72271,1621,2810,1,0.733498
45,0.4,0.6,0.1,80190,1846,3169,1,0.716685
45,0.4,0.6,0.1,88109,1245,1987,1,0.595984
45,0.4,0.6,0.1,96028,1275,2890,1,1.266667
45,0.4,0.6,0.1,103947,1146,1813,1,0.582024
45,0.4,0.6,0.1,111866,1389,2378,1,0.712023
45,0.4,0.6,0.1,127704,1469,2171,1,0.477876
45,0.4,0.6,0.1,135623,2496,3051,1,0.222356
45,0.4,0.6,0.4,1000,2164,3372,1,0.558226
45,0.4,0.6,0.4,8919,2386,12054,0,
45,0.4,0.6,0.4,121567,1303,2152,1,0.651573
45,0.4,0.6,0.4,24757,3908,4327,1,0.107216
45,0.4,0.6,0.4,137405,1422,2422,1,0.703235
45,0.4,0.6,0.4,250053,1063,1854,1,0.74412
45,0.4,0.6,0.4,48514,3323,4281,1,0.288294
45,0.4,0.6,0.4,161162,3146,4108,1,0.305785
45,0.4,0.6,0.4,273810,2230,3083,1,0.382511
45,0.4,0.6,0.4,72271,1621,2810,1,0.733498
45,0.4,0.6,0.4,80190,1846,3169,1,0.716685
45,0.4,0.6,0.4,88109,1245,1987,1,0.595984
45,0.4,0.6,0.4,96028,1275,2890,1,1.266667
45,0.4,0.6,0.4,103947,1146,1813,1,0.582024
45,0.4,0.6,0.4,111866,1389,2378,1,0.712023
45,0.4,0.6,0.4,127704,1469,2171,1,0.477876
45,0.4,0.6,0.4,135623,2496,3051,1,0.222356
45,0.4,0.6,0.8,1000,2227,3372,0,
45,0.4,0.6,0.8,113648,1431,8198,0,
45,0.4,0.6,0.8,121567,1303,2152,0,
45,0.4,0.6,0.8,24757,4450,4327,0,
45,0.4,0.6,0.8,137405,1606,2422,0,
45,0.4,0.6,0.8,250053,1069,1854,0,
45,0.4,0.6,0.8,257972,2063,2693,0,
45,0.4,0.6,0.8,161162,3366,4108,0,
45,0.4,0.6,0.8,273810,2327,3083,0,
45,0.4,0.6,0.8,72271,1742,2810,0,
45,0.4,0.6,0.8,80190,1846,3169,1,0.716685
45,0.4,0.6,0.8,88109,1245,1987,0,
45,0.4,0.6,0.8,96028,1279,2890,0,
45,0.4,0.6,0.8,103947,1146,1813,0,
45,0.4,0.6,0.8,111866,1389,2378,0,
45,0.4,0.6,0.8,224514,2467,4891,0,
45,0.4,0.6,0.8,127704,1556,2171,0,
45,0.4,0.6,0.8,135623,2520,3051,0,
45,0.4,0.8,0.1,1000,3352,5374,1,0.603222
45,0.4,0.8,0.1,121567,1795,2867,1,0.597214
45,0.4,0.8,0.1,24757,5245,5599,1,0.067493
45,0.4,0.8,0.1,137405,2417,3721,1,0.539512
45,0.4,0.8,0.1,250053,1783,2731,1,0.531688
45,0.4,0.8,0.1,48514,4727,5767,1,0.220013
45,0.4,0.8,0.1,161162,3777,4956,1,0.312153
45,0.4,0.8,0.1,273810,3301,5750,1,0.741896
45,0.4,0.8,0.1,72271,3975,5242,1,0.318742
45,0.4,0.8,0.1,80190,3014,4952,1,0.642999
45,0.4,0.8,0.1,88109,1665,2475,1,0.486486
45,0.4,0.8,0.1,96028,2171,4149,1,0.911101
45,0.4,0.8,0.1,103947,2848,4105,1,0.441362
45,0.4,0.8,0.1,111866,2159,3519,1,0.629921
45,0.4,0.8,0.1,433972,1464,3090,1,1.110656
45,0.4,0.8,0.1,127704,2292,3974,1,0.733857
45,0.4,0.8,0.1,135623,3747,4423,1,0.180411
45,0.4,0.8,0.4,1000,3352,5374,0,
45,0.4,0.8,0.4,121567,1795,2867,1,0.597214
45,0.4,0.8,0.4,24757,5264,5599,0,
45,0.4,0.8,0.4,250053,1783,2731,1,0.531688
45,0.4,0.8,0.4,48514,4727,5767,1,0.220013
45,0.4,0.8,0.4,161162,3777,4956,1,0.312153
45,0.4,0.8,0.4,273810,3301,5750,0,
45,0.4,0.8,0.4,177000,2561,3190,1,0.245607
45,0.4,0.8,0.4,80190,3014,4952,1,0.642999
45,0.4,0.8,0.4,88109,1665,2475,1,0.486486
45,0.4,0.8,0.4,96028,2171,4149,0,
45,0.4,0.8,0.4,208676,5034,5916,1,0.175209
45,0.4,0.8,0.4,111866,2159,3519,1,0.629921
45,0.4,0.8,0.4,433972,1464,3090,0,
45,0.4,0.8,0.4,127704,2292,3974,1,0.733857
45,0.4,0.8,0.4,135623,3747,4423,1,0.180411
45,0.4,0.8,0.8,105729,2257,2807,0,
45,0.4,0.8,0.8,427835,2241,3220,0,
45,0.4,0.8,0.8,121567,1795,2867,0,
45,0.4,0.8,0.8,757860,6611,5951,0,
45,0.4,0.8,0.8,137405,3452,3721,0,
45,0.4,0.8,0.8,250053,1884,2731,0,
45,0.4,0.8,0.8,257972,4564,4412,0,
45,0.4,0.8,0.8,161162,4540,4956,0,
45,0.4,0.8,0.8,273810,3913,5750,0,
45,0.4,0.8,0.8,177000,2662,3190,0,
45,0.4,0.8,0.8,80190,3163,4952,0,
45,0.4,0.8,0.8,88109,1691,2475,0,
45,0.4,0.8,0.8,96028,2323,4149,0,
45,0.4,0.8,0.8,313405,3396,7045,0,
45,0.4,0.8,0.8,111866,2176,3519,0,
45,0.4,0.8,0.8,433972,1533,3090,0,
